date,action,ticker,shares,price,total,pnl,pnl_pct,cash_after
2024-01-02,BUY,V,38,254.57,9673.64,,,90326.36
2024-01-02,BUY,JPM,59,163.84,9666.77,,,80659.59
2024-01-02,BUY,KO,175,56.0,9799.75,,,70859.83
2024-01-02,BUY,MCD,34,281.83,9582.13,,,61277.7
2024-01-02,BUY,UNH,19,514.26,9771.03,,,51506.67
2024-01-02,BUY,DE,25,389.63,9740.77,,,41765.9
2024-01-02,BUY,MRK,92,105.46,9701.98,,,32063.93
2024-01-02,BUY,JNJ,65,149.66,9727.89,,,22336.04
2024-01-02,BUY,HON,52,187.81,9766.23,,,12569.81
2024-01-02,BUY,MA,23,416.44,9578.16,,,2991.65
2024-01-03,SELL,HON,52,183.8,9557.36,-208.88,-2.14,12549.0
2024-01-04,SELL,MCD,34,276.8,9411.16,-170.97,-1.78,21960.16
2024-01-12,SELL,UNH,19,497.26,9448.01,-323.02,-3.31,31408.17
2024-01-12,SELL,DE,25,375.64,9390.9,-349.87,-3.59,40799.07
2024-01-12,SELL,JPM,59,161.95,9555.12,-111.65,-1.16,50354.18
2024-01-12,BUY,BLK,13,761.03,9893.36,,,40460.83
2024-01-16,BUY,GS,27,362.12,9777.16,,,30683.66
2024-01-23,BUY,PG,69,146.26,10091.84,,,20591.82
2024-01-25,BUY,CMCSA,260,39.49,10267.71,,,10324.12
2024-01-25,BUY,NEE,190,54.27,10310.38,,,13.74
2024-01-31,SELL,BLK,13,736.96,9580.45,-312.91,-3.16,9594.19
2024-01-31,BUY,MSFT,24,390.85,9380.33,,,213.85
2024-02-01,SELL,KO,175,57.08,9989.79,190.03,1.94,10203.64
2024-02-01,SELL,JNJ,65,148.15,9629.98,-97.91,-1.01,19833.62
2024-02-01,SELL,NEE,190,55.92,10625.13,314.75,3.05,30458.75
2024-02-01,BUY,META,24,391.71,9400.95,,,21057.81
2024-02-01,BUY,AMZN,59,159.28,9397.52,,,11660.29
2024-02-01,BUY,BLK,12,747.07,8964.78,,,2695.5
2024-02-07,SELL,CMCSA,260,37.39,9721.09,-546.61,-5.32,12416.6
2024-02-07,BUY,CAT,39,314.46,12264.01,,,152.59
2024-03-01,SELL,MA,23,471.22,10837.98,1259.82,13.15,10990.56
2024-03-01,SELL,GS,27,372.02,10044.44,267.28,2.73,21035.0
2024-03-01,SELL,META,24,498.92,11974.02,2573.08,27.37,33009.03
2024-03-01,SELL,AMZN,59,178.22,10514.98,1117.46,11.89,43524.01
2024-03-01,SELL,BLK,12,775.52,9306.27,341.49,3.81,52830.28
2024-03-01,SELL,CAT,39,327.2,12760.88,496.87,4.05,65591.16
2024-03-01,BUY,WMT,184,57.4,10560.81,,,55030.35
2024-03-01,BUY,CVX,75,140.16,10512.37,,,44517.98
2024-03-01,BUY,XOM,106,98.98,10492.21,,,34025.77
2024-03-01,BUY,COST,14,741.3,10378.17,,,23647.6
2024-03-01,BUY,CMCSA,283,37.34,10566.22,,,13081.38
2024-03-01,BUY,JPM,59,177.51,10473.04,,,2608.34
2024-03-06,SELL,CVX,75,136.06,10204.17,-308.2,-2.93,12812.51
2024-03-08,SELL,COST,14,717.68,10047.48,-330.69,-3.19,22859.99
